mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_duration_ms,bidirectional_packets,application_name,application_category_name,requested_server_name,flow_id,sent_ts
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.5,51.61879502661797,73,0,73.0,0.0,73,73,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,54740,6,73,3,TLS,Web,,104.18.39.21:443-10.8.1.3:54740-6-1776443801836,1776443822005
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,50922,6,72,3,TLS,Web,,104.18.39.21:443-10.8.1.3:50922-6-1776443806579,1776443827124
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,35.5,50.204581464244875,71,0,71.0,0.0,71,71,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,52160,6,71,3,TLS,Web,,104.18.39.21:443-10.8.1.3:52160-6-1776443806924,1776443827128
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,51884,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:51884-6-1776443814303,1776443830196
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,45534,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:45534-6-1776443814434,1776443830200
119.16666666666667,82.94194756977116,278,68,145.66666666666666,115.17956994768358,278,68,437,2453.4,5171.935740126708,11702,0,6133.5,8300.72650434888,12003,264,5983.0,8445.683394492124,11955,11,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,10.8.1.3,134.224.4.147,55070,443,6,12267,6,TLS,Web,,10.8.1.3:55070-134.224.4.147:443-6-1776443801802,1776443833269
155.0,112.22299229658778,307,68,187.5,137.98671433632055,307,68,750,174.83333333333334,198.23361638901378,503,0,349.6666666666667,132.79056191361394,503,273,404.0,552.9575028878802,795,13,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,10.8.1.3,18.97.36.64,34526,443,6,1049,7,TLS,Web,,10.8.1.3:34526-18.97.36.64:443-6-1776443801844,1776443833272
144.241935483871,98.90178693273226,429,68,137.64516129032256,132.30206558908966,429,68,4267,596.7868852459014,1183.840615887602,4960,0,1209.0333333333333,1487.9229559989005,5085,0,1209.9333333333332,1490.8404464534792,5064,2,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,10.8.1.3,149.154.167.41,59250,443,6,36404,62,Telegram,Chat,,10.8.1.3:59250-149.154.167.41:443-6-1776443769522,1776443837366
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,54740,6,72,3,TLS,Web,,104.18.39.21:443-10.8.1.3:54740-6-1776443821830,1776443842484
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,591.4,1241.8678673675392,2812,0,985.6666666666667,1581.651141476316,2812,72,2885.0,0.0,2885,2885,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.1,10.8.1.3,443,35838,6,2957,6,TLS,Web,,208.103.161.1:443-10.8.1.3:35838-6-1776443817690,1776443843508
