true_label,class,attack_type,source,flow_id,mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,requested_server_name,client_fingerprint,server_fingerprint
0,c2_beaconing,mta_icedid,IcedID_2022-01-12.pcap,10.22.5.47:50446-13.107.42.22:443-6-1642008030928,441.8148148148149,556.9478664344858,1415,60,257.91666666666663,394.3905444038326,1415,60,3095,20.73076923076923,47.045133811953555,134,0,37.54545454545454,60.362842272980544,137,0,29.357142857142854,55.370927032510124,135,0,4.0,0.0,0.0,0.0,0.0,634.8516460905349,577.2260577538682,1415.0,60.0,441.8148148148149,19,20,10.22.5.47,13.107.42.22,50446,443,6,27,account.live.com,t13d1516h2_8daaf6152771_e5627efa2ab1,0f14538e1c9070becdad7739c67d6363
0,benign,benign,ctu_normal21_kali_2017.pcap,192.168.1.191:48628-23.64.15.24:443-6-1493726773856,509.34513274336257,646.3423430835282,1514,54,84.15789473684212,91.40271750291285,583,54,4797,1038.901785714286,3022.6986390209536,10029,0,2077.8035714285716,4035.346088208963,10048,0,2115.181818181818,4063.2319014361565,10047,0,12.0,0.0,0.0,0.0,0.0,591.180891942245,571.8517589708248,1514.0,54.0,509.34513274336257,82,87,192.168.1.191,23.64.15.24,48628,443,6,113,crtvmp4-a.akamaihd.net,t12d1110h2_43e74fd21232_205f67e4d9f4,73c5401bc2544038f608637524b63c6a
1,c2_beaconing,mta_qakbot,Qakbot_2022-11-14_1.pcap,172.16.24.174:50093-194.165.16.90:443-6-1668457678381,435.7777777777777,592.4256093081244,1514,54,459.3846153846154,631.944425096271,1514,54,5972,52.26923076923077,134.1174284550096,465,0,113.24999999999999,182.84525250505237,466,0,88.6923076923077,177.01760016797982,465,0,106.0,0.0,0.0,0.0,0.0,668.1132817799485,618.2566902665315,1514.0,54.0,435.7777777777777,16,18,172.16.24.174,194.165.16.90,50093,443,6,27,,t12i190600_d83cc789557e_2dae41c691ec,f176ba63b4d68e576b5ba345bec2c7b7
1,c2_beaconing,mta_pikabot,Pikabot_2023-10-03.pcap,10.1.2.147:49486-179.60.149.244:443-6-1696349781543,430.9062500000002,586.9049139547168,1450,60,335.05555555555554,529.120187861524,1450,60,6031,13.258064516129032,26.548029106929302,74,0,24.176470588235293,39.21293679086923,115,0,26.23076923076923,33.34704846048059,77,0,4.0,0.0,0.0,0.0,0.0,647.7894069664903,585.8551855306317,1450.0,60.0,430.9062500000002,16,17,10.1.2.147,179.60.149.244,49486,443,6,32,zzerxc.com,t12d190700_d83cc789557e_2dae41c691ec,f176ba63b4d68e576b5ba345bec2c7b7
1,c2_beaconing,mta_icedid,IcedID_2022-01-12.pcap,10.22.5.47:50149-104.168.44.45:443-6-1642007407014,228.05555555555557,374.25651351512465,1279,60,211.27272727272728,373.0335349292583,1279,60,2324,3927.294117647059,15966.150388261669,65884,0,6676.400000000001,20803.709638213833,65884,0,111.33333333333334,119.20011185677079,226,0,3.5,0.0,0.0,0.0,0.0,510.6396504729838,521.9601651415826,1279.0,60.0,228.05555555555557,13,14,10.22.5.47,104.168.44.45,50149,443,6,18,,t12i190600_d83cc789557e_2dae41c691ec,f176ba63b4d68e576b5ba345bec2c7b7
0,benign,benign,ctu_normal14_win_full_2017.pcap,10.0.2.15:50015-45.55.217.192:443-6-1167786,746.8461538461538,669.0151289283693,1474,54,248.75,345.15410364525275,942,54,4975,17.88888888888889,57.12246738062387,313,0,84.73684210526315,109.23259693845115,313,0,21.228571428571424,63.56376951559006,317,0,1.5,0.0,0.0,0.0,0.0,659.4167870470687,551.2298489875038,1474.0,54.0,746.8461538461538,67,69,10.0.2.15,45.55.217.192,50015,443,6,91,anon-sms.com,t12d1712h2_67e6df579eba_88be6878e1da,c6227321ea7621862dc7b7351771a62c
0,benign,benign,ctu_normal20_win_2017_https.pcap,10.0.2.15:65387-104.244.42.193:443-6-10464155,552.2364253393665,618.2753710228811,1514,54,372.258785942492,535.492428656579,1514,54,116517,1063.4077010192527,6210.045736649489,64832,0,3009.5769230769242,10173.554395701402,64832,0,1647.319298245615,7698.358454639016,65135,0,3.0,0.0,0.0,0.0,0.0,693.2653756843629,606.2148190636176,1514.0,54.0,552.2364253393665,678,680,10.0.2.15,104.244.42.193,65387,443,6,884,twitter.com,t12d1509h2_073e58a039a6_e70312a1ce2c,8d2a028aa94425f76ced7826b1f39039
0,c2_beaconing,mta_pikabot,Pikabot_2023-05-23.pcap,10.1.0.186:55257-13.107.219.57:443-6-1684858336977,243.64285714285714,393.93880960662625,1514,54,186.66666666666666,199.663383389811,550,54,1120,4915.846153846154,17619.88321398184,63558,0,69.6,89.68444681214241,219,0,9121.285714285714,24004.46922772428,63558,0,70.0,0.0,0.0,0.0,0.0,495.1871693121693,564.2068112791018,1514.0,54.0,243.64285714285714,10,12,10.1.0.186,13.107.219.57,55257,443,6,14,otelrules.azureedge.net,t12d180800_4b22cbed5bed_7af1ed941c26,ae4edc6faf64d08308082ad26be60767
1,c2_beaconing,mta_gozi,Gozi_2023-07-12.pcap,10.7.12.121:49876-170.130.55.162:443-6-1689202210031,376.4545454545455,554.998217695356,1514,54,153.2,200.96201962891726,636,54,1532,1868.2380952380952,8482.4462857407,38888,0,4359.222222222223,12948.50063499417,38888,0,3563.272727272727,11716.41949650924,38889,0,3.0,0.0,0.0,0.0,0.0,546.4616161616161,556.9408340161756,1514.0,54.0,376.4545454545455,13,15,10.7.12.121,170.130.55.162,49876,443,6,22,iamupdate.com,t12d190700_d83cc789557e_2dae41c691ec,4ce0442e9d20d092d9d74e9ce54b363a
1,c2_beaconing,mta_gozi,Gozi_2023-07-12.pcap,10.7.12.121:50292-170.130.55.162:443-6-1689204133946,300.0689655172414,474.64362052224305,1418,54,120.13333333333333,168.24169122624352,636,54,1802,382.5,1955.1249936361462,10356,0,765.0,2761.1515713556905,10356,0,820.7692307692307,2866.2790383423985,10358,0,1.0,0.0,0.0,0.0,0.0,505.2288268564131,525.4382359018998,1418.0,54.0,300.0689655172414,21,23,10.7.12.121,170.130.55.162,50292,443,6,29,iamupdate.com,t12d190700_d83cc789557e_2dae41c691ec,4ce0442e9d20d092d9d74e9ce54b363a
0,c2_beaconing,mta_pikabot,Pikabot_2023-05-23.pcap,10.1.0.186:55331-104.238.35.63:8080-6-1684859731256,344.19230769230774,501.26137048296624,1514,54,251.64285714285717,422.77428186515016,1514,54,3523,57.400000000000006,200.83409405111806,1005,0,110.3846153846154,272.662654349515,1005,0,33.09090909090909,48.95805254593884,143,0,66.0,0.0,0.0,0.0,0.0,639.1113146113146,632.0525395260706,1514.0,54.0,344.19230769230774,17,19,10.1.0.186,104.238.35.63,55331,8080,6,26,,t13i201100_2b729b4bf6f3_2e4f304f1f45,2253c82f03b621c5144709b393fde2c9
1,c2_beaconing,mta_qakbot,Qakbot_2022-09-29.pcap,10.9.29.201:50380-193.3.19.137:443-6-1664432245570,193.7142857142857,299.7841127973834,1247,54,156.75,221.8923264681646,698,54,1881,1975.5499999999997,6870.705016111597,29892,0,3591.909090909091,9127.22213441248,29892,0,4921.0,10564.70219984589,29893,1,68.0,0.0,0.0,0.0,0.0,438.60714285714283,470.90088071247254,1247.0,54.0,193.7142857142857,14,16,10.9.29.201,193.3.19.137,50380,443,6,21,,t13i201000_2b729b4bf6f3_533b6d20482b,2253c82f03b621c5144709b393fde2c9
0,exfil,mta_koistealer,KoiStealer_2024-06-12.pcap,10.6.12.101:49769-23.198.7.184:443-6-1718218797297,368.09523809523813,562.4666127657628,1514,54,101.44444444444444,69.48580990229428,222,54,913,5026.15,22355.5214333118,100004,0,12565.375,35330.62302607632,100004,1,9134.090909090908,30138.200229789916,100004,0,44.0,0.0,0.0,0.0,0.0,494.402557319224,568.7239864697154,1514.0,54.0,222.0,15,17,10.6.12.101,23.198.7.184,49769,443,6,21,www.bing.com,t12d180700_4b22cbed5bed_2dae41c691ec,4b7d5f58af981be54baeda917533e5d8
1,c2_beaconing,mta_emotet,Emotet_2022-07-07.pcap,10.7.7.101:57420-52.18.235.51:443-6-1657219855437,392.0588235294117,528.7988069702119,1514,54,110.56250000000001,148.78484185785413,619,54,1769,2827.2121212121215,13227.880912011135,74958,0,6219.866666666668,19425.46364170591,74959,0,5485.470588235294,18288.784647693403,74959,0,24.0,0.0,0.0,0.0,0.0,550.4332334785767,560.5518343245486,1514.0,54.0,392.0588235294117,24,26,10.7.7.101,52.18.235.51,57420,443,6,34,distinctive-obi-mgw.aws-euw1.cloud-ara.tyk.io,t12d190700_d83cc789557e_2dae41c691ec,61be9ce3d068c08ff99a857f62352f9d
0,benign,benign,ctu_normal14_win_full_2017.pcap,10.0.2.15:52474-185.33.223.203:443-6-3630414,280.94444444444446,439.96249468792917,1474,54,228.49999999999997,314.48097830279926,870,54,1828,52.88235294117647,111.6338223573736,471,0,128.42857142857144,155.28989787153697,471,1,89.22222222222223,150.85819316313066,483,0,44.0,0.0,0.0,0.0,0.0,534.704938271605,555.0998010123775,1474.0,54.0,280.94444444444446,11,13,10.0.2.15,185.33.223.203,52474,443,6,18,secure.adnxs.com,t12d1712h2_67e6df579eba_88be6878e1da,266bd998df907f9d5064d7f4c208b200
